Club,Compensation,Last Name
CHI,35125,Kann
CHI,35125,King
CHV,35125,Morales
CHV,35125,Orozco
CHV,35125,Soto
CLB,35125,Beckie
CLB,35125,Hyland
CLB,35125,Sloan
CLB,35125,Withrow
COL,35125,Griffiths
COL,35125,Irwin
COL,35125,Kindle
DAL,35125,Gonzalez
DAL,35125,Zobeck
DC,35125,Kemp
HOU,35125,Arena
KC,35125,Duke
KC,35125,Mechack
KC,35125,Miller
KC,35125,Songo'o
LA,35125,Cochrane
LA,35125,Opare
LA,35125,Rugg
MTL,35125,Crepeau
MTL,35125,Lefevre
MTL,35125,Rodriguez
MTL,35125,Tissot
NE,35125,Duckett
NE,35125,Horth
NE,35125,Latigue
NE,35125,Smith
NE,35125,Soffner
NY,35125,Bover
NY,35125,Castano
NY,35125,Domingues
NY,35125,Moreno
NY,35125,Obekop
PHI,35125,Anding
PHI,35125,Fernandes
POR,35125,Kawulok
POR,35125,Tucker-Gangnes
RSL,35125,Balchan
RSL,35125,Fernandez
RSL,35125,Salcedo
RSL,35125,Sandoval
SEA,35125,Bates
SEA,35125,Fairclough
SEA,35125,Lund
SEA,35125,Remick
SJ,35125,Jahn
SJ,35125,McGlynn
SJ,35125,Mitchell
SJ,35125,Muller
TOR,35125,Morgan
TOR,35125,Richter
VAN,35125,Clement
VAN,35125,Thomas
DAL,36125,Baladez
DC,38125,Seaton
RSL,43458.33,Maund
CHI,46500,Amarikwa
CHI,46500,Jumper
CHI,46500,Kinney
CHI,46500,Tornaghi
CHV,46500,Borja
CHV,46500,Iraheta
CHV,46500,McLain
CLB,46500,Anor
CLB,46500,Barson
CLB,46500,Gehrig
CLB,46500,George
CLB,46500,Lampson
CLB,46500,Schoenfeld
CLB,46500,Warzycha
COL,46500,Castrillon
COL,46500,Hill
COL,46500,Klute
COL,46500,Smith
DAL,46500,Keel
DAL,46500,Top
DAL,46500,Woodberry
DC,46500,Augusto
DC,46500,Dykstra
DC,46500,Syamsir
DC,46500,Willis
HOU,46500,Creavalle
HOU,46500,Marscheider
HOU,46500,Ownby
KC,46500,Joseph
KC,46500,Olum
KC,46500,Saad
LA,46500,Garcia
LA,46500,Gaul
LA,46500,Jimenez
LA,46500,Rowe
LA,46500,Walker
MTL,46500,Bush
MTL,46500,Ouimette
NY,46500,Bustamante
NY,46500,Christianson
PHI,46500,Gaddis
PHI,46500,Jordan
PHI,46500,Kassel
PHI,46500,Konopka
PHI,46500,Wheeler
POR,46500,Evans
POR,46500,Fehr
POR,46500,Nanchoff
POR,46500,Rincon
RSL,46500,Alvarez
RSL,46500,Attinella
RSL,46500,Grossman
RSL,46500,Velasquez
SEA,46500,Carrasco
SEA,46500,Caskey
SEA,46500,Ford
SEA,46500,Rose
SJ,46500,Newton
SJ,46500,Ring
SJ,46500,Tracy
TOR,46500,Bendik
TOR,46500,Bennett
TOR,46500,Osorio
TOR,46500,Roberts
TOR,46500,Welshman
VAN,46500,Abdallah
VAN,46500,Clarke
VAN,46500,Klazura
VAN,46500,Mitchell
CHI,47125,Videira
KC,47250,Ellis
HOU,47500,Salazar
MTL,48000,Romero
SJ,48000,Cato
DAL,48125,Hernandez
LA,48375,Sorto
LA,48375,Villareal
PHI,48400,Hoppenot
SEA,48400,Estrada
SEA,48400,Neagle
TOR,48400,Emory
NE,48510,Guy
CHI,49000,Bone
DAL,49000,Ulloa
SJ,49500,Baca
POR,49612,Kocic
SJ,49612.5,Beitashour
DC,49613,Korb
RSL,49958.33,Viana
COL,50000,Calderon
SEA,50000,Scott
PHI,50820,Farfan
CHI,51500,Atouba
VAN,51975,Heinemann
RSL,52000,Mansally
CLB,52313,Williams
CHV,52500,Delgado
TOR,53166.67,Agbossoumonde
RSL,53240,Watson-Siriboe
CHI,53242.42,Pineda
SEA,53500,Yedlin
CHV,54000,Bolanos
NE,54000,Caldwell
NY,54000,Hartman
HOU,54612.5,Dixon
DC,54992.45,Porter
SJ,55229.3,Tommy
COL,55964.29,Armstrong
HOU,57508,Chabala
MTL,57750,Ubiparipovic
SJ,57889.79,Fucito
LA,58125,Perk
NY,59213.21,Lade
COL,59500,Serna
CHV,60000,Correa
DC,60000,Sanchez
KC,60000,Gardner
RSL,60000,Plata
SEA,60000,Hahnemann
SJ,60000,Corrales
VAN,60670.67,Hertzog
POR,60687.5,Dike
KC,60713.21,Thomas
COL,60850,O'Neill
LA,61050,Meyer
SJ,61665,Attakora
CLB,62000,Speas
DAL,62070,Warshaw
TOR,62083.33,Henry
CLB,62300,Finlay
MTL,62300,Mallace
SEA,62500,Ochoa
POR,63263.75,Gleeson
DAL,63500,Sanchez
PHI,64375,Hernandez
DAL,64500,Hedges
CHV,65000,Melia
POR,65000,Miller
POR,65000,Valencia
TOR,65000,Wiedeman
VAN,65600,Teibert
VAN,66000,Knighton
DAL,66250,Castillo
NY,66250,Meara
COL,66563.7,Wallace
KC,67083.33,Kempin
NY,67595,Akpan
TOR,67750,Bekker
SJ,68415.21,Harden
PHI,69000,McLaughlin
POR,70000,Horst
TOR,70000,Lambe
COL,70333.33,Ceus
DAL,70500,Acosta
NY,70867.5,Alexander
CHV,70966.67,Villafana
VAN,71187.5,Leveron
NY,71428.54,Barklage
RSL,71500,Palmer
VAN,71751.98,Watson
TOR,72000,Morgan
CHV,72500,Antunez
NE,72717,Barnes
SEA,73200,Martinez
POR,73992.29,Richards
CLB,74000,Finley
COL,75000,Rivero
DAL,75000,Nunez
DC,75000,Ruiz
DC,75000,Russell
HOU,75000,Ching
MTL,75000,Rivas
PHI,75000,Albright
PHI,75000,Pfeffer
SEA,75000,Burch
RSL,75250,Stertzer
POR,76000,Zemanski
KC,76835,Kronberg
KC,77500,Dwyer
NY,77500,Robles
NE,78000,Polak
VAN,78019.66,Davidson
CHI,78425,Berry
CHI,79000,Gulley
COL,79000,Powers
NY,79000,Steele
LA,80000,Clark
POR,80000,Jean-Baptiste
VAN,80000,Alderson
CHV,80004,Purdy
PHI,80004,Daniel
NE,80100,Nguyen
MTL,80250,Smith
CLB,80500,Horton
CLB,80666.67,Wahl
CLB,80695,Meram
CHV,81500,Alvarez
DAL,81500,Pereira
VAN,81500,Hurtado
RSL,81958.33,Stephenson
